Bishop,0.3071033
Montgomery,0.3075680
Oliver,0.3080325
Jensen,0.3084960
Harvey,0.3089595
Williamson,0.3094202
Gilbert,0.3098809
Dean,0.3103378
Sims,0.3107922
Espinoza,0.3112416
Howell,0.3116906
Li,0.3121386
Wong,0.3125849
Reid,0.3130312
Hanson,0.3134766
Le,0.3139213
Mccoy,0.3143651
Garrett,0.3148087
Burton,0.3152516
Fuller,0.3156929
Wang,0.3161332
Weber,0.3165718
Welch,0.3170085
Rojas,0.3174430
Lucas,0.3178746
Marquez,0.3183055
Fields,0.3187364
Park,0.3191640
Yang,0.3195889
Little,0.3200134
Banks,0.3204376
Padilla,0.3208598
Day,0.3212809
Walsh,0.3217020
Bowman,0.3221228
Schultz,0.3225432
Luna,0.3229620
Fowler,0.3233809
Mejia,0.3237979
Davidson,0.3242144
Acosta,0.3246288
Brewer,0.3250428
May,0.3254568
Holland,0.3258677
Juarez,0.3262763
Newman,0.3266848
Pearson,0.3270929
Curtis,0.3275008
Cortez,0.3279084
Douglas,0.3283150
Schneider,0.3287209
Joseph,0.3291255
Barrett,0.3295266
Navarro,0.3299266
Figueroa,0.3303212
Keller,0.3307150
Avila,0.3311050
Wade,0.3314939
Molina,0.3318825
Stanley,0.3322707
Hopkins,0.3326586
Campos,0.3330438
Barnett,0.3334272
Bates,0.3338104
Chambers,0.3341911
Caldwell,0.3345676
Beck,0.3349434
Lambert,0.3353188
Miranda,0.3356940
Byrd,0.3360663
Craig,0.3364370
Ayala,0.3368076
Lowe,0.3371773
Frazier,0.3375466
Powers,0.3379152
Neal,0.3382826
Leonard,0.3386492
Gregory,0.3390154
Carrillo,0.3393806
Sutton,0.3397451
Fleming,0.3401085
Rhodes,0.3404719
Shelton,0.3408346
Schwartz,0.3411956
Norris,0.3415554
Jennings,0.3419149
Watts,0.3422741
Duran,0.3426324
Walters,0.3429906
Cohen,0.3433476
Mcdaniel,0.3437032
Moran,0.3440583
Parks,0.3444133
Steele,0.3447669
Vaughn,0.3451198
Becker,0.3454719
Holt,0.3458226
Deleon,0.3461729
Barker,0.3465222
Terry,0.3468709
Hale,0.3472180
Leon,0.3475641
Hail,0.3479097
Benson,0.3482547
Haynes,0.3485992
Horton,0.3489406
Miles,0.3492810
Lyons,0.3496197
Pham,0.3499576
Graves,0.3502949
Bush,0.3506316
Thornton,0.3509681
Wolfe,0.3513045
Warner,0.3516402
Cabrera,0.3519753
Mckinney,0.3523104
Mann,0.3526451
Zimmerman,0.3529787
Dawson,0.3533121
Lara,0.3536450
Fletcher,0.3539778
Page,0.3543104
Mccarthy,0.3546428
Love,0.3549750
Robles,0.3553054
Cervantes,0.3556347
Solis,0.3559638
Erickson,0.3562928
Reeves,0.3566213
Chang,0.3569497
Klein,0.3572762
Salinas,0.3576014
Fuentes,0.3579260
Baldwin,0.3582496
Daniel,0.3585723
Simon,0.3588947
Velasquez,0.3592168
Hardy,0.3595384
Higgins,0.3598582
Aguirre,0.3601769
Lin,0.3604955
Cummings,0.3608133
Chandler,0.3611307
Sharp,0.3614472
Barber,0.3617632
Bowen,0.3620791
Ochoa,0.3623944
Dennis,0.3627089
Robbins,0.3630230
Liu,0.3633370
Ramsey,0.3636510
Francis,0.3639649
Griffith,0.3642785
Paul,0.3645921
Blair,0.3649048
Oconnor,0.3652171
Cardenas,0.3655283
Pacheco,0.3658394
Cross,0.3661502
Calderon,0.3664591
Quinn,0.3667677
Moss,0.3670759
Swanson,0.3673840
Chan,0.3676912
Rivas,0.3679966
Khan,0.3683019
Rodgers,0.3686068
Serrano,0.3689114
Fitzgerald,0.3692134
Rosales,0.3695147
Stevenson,0.3698159
Christensen,0.3701170
Manning,0.3704174
Gill,0.3707177
Curry,0.3710180
Mclaughlin,0.3713178
Harmon,0.3716173
Mcgee,0.3719160
Gross,0.3722146
Doyle,0.3725130
Garner,0.3728108
Newton,0.3731077
Burgess,0.3734040
Reese,0.3737002
Walton,0.3739962
Blake,0.3742919
Trujillo,0.3745871
Adkins,0.3748821
Brady,0.3751752
Goodman,0.3754683
Roman,0.3757605
Webster,0.3760515
Goodwin,0.3763419
Fischer,0.3766318
Huang,0.3769217
Potter,0.3772109
Delacruz,0.3774999
Montoya,0.3777878
Todd,0.3780754
Wu,0.3783628
Hines,0.3786502
Mullins,0.3789373
Castaneda,0.3792233
Malone,0.3795090
Cannon,0.3797939
Tate,0.3800786
Mack,0.3803634
Sherman,0.3806459
Hubbard,0.3809279
Hodges,0.3812093
Zhang,0.3814903
Guerra,0.3817711
Wolf,0.3820518
Valencia,0.3823323
Saunders,0.3826126
Franco,0.3828929
Rowe,0.3831729
Gallagher,0.3834528
Farmer,0.3837317
Hammond,0.3840103
Hampton,0.3842887
Townsend,0.3845667
Ingram,0.3848446
Wise,0.3851197
Gallegos,0.3853937
Clarke,0.3856673
Barton,0.3859407
Schroeder,0.3862132
Maxwell,0.3864855
Waters,0.3867577
Logan,0.3870299
Camacho,0.3873019
Strickland,0.3875735
Norman,0.3878448
Person,0.3881150
Colon,0.3883848
Parsons,0.3886546
Frank,0.3889243
Harrington,0.3891926
Glover,0.3894606
Osborne,0.3897284
Buchanan,0.3899955
Casey,0.3902622
Floyd,0.3905285
Patton,0.3907941
Ibarra,0.3910589
Ball,0.3913236
Tyler,0.3915883
Suarez,0.3918529
Bowers,0.3921174
Orozco,0.3923815
Salas,0.3926438
Cobb,0.3929048
Gibbs,0.3931656
Andrade,0.3934262
Bauer,0.3936867
Conner,0.3939455
Moody,0.3942037
Escobar,0.3944617
Mcguire,0.3947195
Lloyd,0.3949768
Mueller,0.3952341
Hartman,0.3954910
French,0.3957474
Kramer,0.3960036
Mcbride,0.3962597
Pope,0.3965157
Lindsey,0.3967712
Velazquez,0.3970266
Norton,0.3972820
Mccormick,0.3975371
Sparks,0.3977913
Flynn,0.3980454
Yates,0.3982988
Hogan,0.3985516
Marsh,0.3988013
Macias,0.3990507
Villanueva,0.3992987
Zamora,0.3995461
Pratt,0.3997932
Stokes,0.4000402
Owen,0.4002872
Ballard,0.4005342
Lang,0.4007807
Brock,0.4010267
Villarreal,0.4012725
Charles,0.4015178
Drake,0.4017629
Barrera,0.4020074
Cain,0.4022516
Patrick,0.4024955
Pineda,0.4027392
Burnett,0.4029828
Mercado,0.4032263
Santana,0.4034694
Shepherd,0.4037118
Bautista,0.4039533
Ali,0.4041937
Shaffer,0.4044340
Lamb,0.4046741
Trevino,0.4049140
Mckenzie,0.4051529
Hess,0.4053912
Beil,0.4056295
Olsen,0.4058674
Cochran,0.4061052
Morton,0.4063425
Nash,0.4065778
Wilkins,0.4068128
Petersen,0.4070472
Briggs,0.4072812
Shah,0.4075148
Roth,0.4077483
Nicholson,0.4079814
Holloway,0.4082140
Lozano,0.4084455
Rangel,0.4086761
Flowers,0.4089068
Hoover,0.4091372
Short,0.4093675
Arias,0.4095979
Mora,0.4098281
Valenzuela,0.4100581
Bryan,0.4102871
Meyers,0.4105160
Weiss,0.4107449
Underwood,0.4109736
Bass,0.4112022
Greer,0.4114308
Summers,0.4116590
Houston,0.4118870
Carson,0.4121149
Morrow,0.4123427
Clayton,0.4125697
Whitaker,0.4127966
Decker,0.4130233
Yoder,0.4132494
Collier,0.4134753
Zuniga,0.4137011
Carey,0.4139268
Wilcox,0.4141524
Melendez,0.4143777
Poole,0.4146030
Roberson,0.4148282
Larsen,0.4150524
Conley,0.4152765
Davenport,0.4155005
Copeland,0.4157243
Massey,0.4159471
Lam,0.4161697
Huff,0.4163921
Rocha,0.4166135
Cameron,0.4168349
Jefferson,0.4170560
Hood,0.4172771
Monroe,0.4174981
Anthony,0.4177189
Pittman,0.4179394
Huynh,0.4181598
Randall,0.4183793
Singleton,0.4185982
Kirk,0.4188162
Combs,0.4190336
Mathis,0.4192509
Christian,0.4194680
Skinner,0.4196846
Bradford,0.4199011
Richard,0.4201171
Galvan,0.4203328
Wall,0.4205483
Boone,0.4207639
Kirby,0.4209794
Wilkinson,0.4211947
Bridges,0.4214098
Bruce,0.4216239
Atkinson,0.4218378
Velez,0.4220513
Meza,0.4222646
Roy,0.4224776
Vincent,0.4226904
York,0.4229030
Hodge,0.4231151
Villa,0.4233268
Abbott,0.4235381
Allison,0.4237493
Tapia,0.4239603
Gates,0.4241710
Chase,0.4243813
Sosa,0.4245915
Sweeney,0.4248015
Farrell,0.4250112
Wyatt,0.4252204
Dalton,0.4254296
Horn,0.4256385
Barron,0.4258472
Phelps,0.4260557
Yu,0.4262643
Dickerson,0.4264722
Heath,0.4266801
Foley,0.4268879
Atkins,0.4270950
Mathews,0.4273018
Bonilla,0.4275080
Acevedo,0.4277138
Benitez,0.4279194
Zavala,0.4281243
Hensley,0.4283291
Glenn,0.4285336
Cisneros,0.4287377
Harrell,0.4289414
Shields,0.4291451
Rubio,0.4293486
Huffman,0.4295521
Choi,0.4297557
Boyer,0.4299590
Garrison,0.4301621
Arroyo,0.4303650
Bond,0.4305678
Kane,0.4307705
Hancock,0.4309731
Callahan,0.4311756
Dillon,0.4313778
Cline,0.4315792
Wiggins,0.4317806
Grimes,0.4319819
Arellano,0.4321827
