Hermosillo,0.002516808,595811,4,Sonora,29.07,-110.97,0.488293488
Morelia,0.002504077,592797,4,Michoacan,19.72,-101.18,0.490797564
Chimalhuacan,0.002492853,590140,4,México,19.44,-98.96,0.493290418
Culiacan,0.002460449,582469,4,Sinaloa,24.8,-107.39,0.495750867
Hachioji,0.002447481,579399,2,Tokyo,35.66,139.33,0.498198348
Milwaukee,0.002446556,579180,1,Wisconsin,43.06,-87.97,0.500644904
Boston,0.002413189,571281,1,Massachusetts,42.34,-71.02,0.503058094
Seattle,0.002405113,569369,1,Washington,47.62,-122.35,0.505463207
Veracruz,0.002400652,568313,4,Veracruz,19.19,-96.14,0.507863859
Funabashi,0.002368675,560743,2,Chiba,35.7,139.99,0.510232534
Denver,0.00234856,555981,1,Colorado,39.77,-104.87,0.512581093
Kagoshima,0.002345903,555352,2,Kagoshima,31.59,130.56,0.514926996
Washington,0.002333572,552433,1,District of Columbia,38.91,-77.02,0.517260568
Cancún,0.002289683,542043,4,Quintana Roo,21.17,-86.83,0.519550251
Portland,0.00228322,540513,1,Oregon,45.54,-122.66,0.521833471
Las Vegas,0.002281522,540111,1,Nevada,36.21,-115.22,0.524114993
Oklahoma City,0.002251273,532950,1,Oklahoma,35.47,-97.51,0.526366266
Nashville,0.00224241,530852,1,Tennessee,36.17,-86.78,0.528608676
Torreón,0.002213745,524066,4,Coahuila,25.55,-103.43,0.530822421
Lopez Mateos,0.002200937,521034,4,México,19.57,-99.26,0.533023359
Tucson,0.002191953,518907,1,Arizona,32.2,-110.89,0.535215311
Higashiosaka,0.002167528,513125,2,Osaka,34.67,135.59,0.53738284
San Nicolas de los Garza,0.002145102,507816,4,Nuevo León,25.75,-100.3,0.539527942
Toluca,0.002136929,505881,4,México,19.29,-99.67,0.541664871
Niigata,0.002134356,505272,2,Niigata,37.92,139.04,0.543799227
Reynosa,0.0021064,498654,4,Tamaulipas,26.08,-98.28,0.545905627
Tlaquepaque,0.002085246,493646,4,Jalisco,20.64,-103.32,0.547990873
Albuquerque,0.002058769,487378,1,New Mexico,35.12,-106.62,0.550049642
Matsuyama,0.002050544,485431,2,Ehime,33.84,132.77,0.552100186
Long Beach,0.002038662,482618,1,California,33.79,-118.16,0.554138847
Himeji,0.002033909,481493,2,Hyogo,34.83,134.69,0.556172757
Tuxtla Gutiérrez,0.002032368,481128,4,Chiapas,16.75,-93.12,0.558205124
Cuautitlan Izcalli,0.002007238,475179,4,México,19.65,-99.25,0.560212362
Matsudo,0.001986531,470277,2,Chiba,35.78,139.9,0.562198894
Nishinomiya,0.00198082,468925,2,Hyogo,34.73,135.34,0.564179714
Kawaguchi,0.001979299,468565,2,Saitama,35.81,139.73,0.566159013
Sacramento,0.001976482,467898,1,California,38.57,-121.47,0.568135495
Shizuoka,0.001974049,467322,2,Shizuoka,34.98,138.39,0.570109543
Fresno,0.001965013,465183,1,California,36.78,-119.79,0.572074557
New Orleans,0.001940314,459336,1,Louisiana,30.07,-89.93,0.574014871
Kanazawa,0.001938629,458937,2,Ishikawa,36.56,136.64,0.5759535
Ichikawa,0.001935685,458240,2,Chiba,35.72,139.93,0.577889185
Durango,0.001931038,457140,4,Durango,24.03,-104.67,0.579820223
Mesa,0.001900362,449878,1,Arizona,33.42,-111.74,0.581720585
Utsunomiya,0.001900307,449865,2,Tochigi,36.56,139.89,0.583620892
Cleveland,0.001898825,449514,1,Ohio,41.48,-81.68,0.585519717
Virginia Beach,0.001898284,449386,1,Virginia,36.74,-76.04,0.587418001
Oita,0.001896261,448907,2,Oita,33.24,131.6,0.589314262
Staten Island,0.001874384,443728,1,New York,40.58,-74.15,0.591188645
Amagasaki,0.001867815,442173,2,Hyogo,34.71,135.41,0.59305646
Kansas City,0.001867202,442028,1,Missouri,39.12,-94.55,0.594923663
Kurashiki,0.001848418,437581,2,Okayama,34.61,133.77,0.59677208
Matamoros,0.001838127,435145,4,Tamaulipas,25.88,-97.5,0.598610208
Yokosuka,0.001812136,428992,2,Kanagawa,35.27,139.67,0.600422344
Xalapa,0.001795898,425148,4,Veracruz,19.53,-96.92,0.602218242
Atlanta,0.001786436,422908,1,Georgia,33.76,-84.42,0.604004678
Omaha,0.00174664,413487,1,Nebraska,41.26,-96.01,0.605751319
Nagasaki,0.001732772,410204,2,Nagasaki,32.75,129.88,0.607484091
Kitchener,0.00172816,409112,8,Ontario,43.46,-80.5,0.609212251
Hirakata,0.001716412,406331,2,Osaka,34.81,135.66,0.610928663
Tonala,0.001696043,401509,4,Jalisco,20.62,-103.23,0.612624706
Machida,0.001689538,399969,2,Tokyo,35.56,139.43,0.614314244
Gifu,0.001680012,397714,2,Gifu,35.42,136.76,0.615994257
Fujisawa,0.00166696,394624,2,Kanagawa,35.33,139.47,0.617661217
Oakland,0.00166677,394579,1,California,37.77,-122.22,0.619327986
Toyonaka,0.001624021,384459,2,Osaka,34.78,135.48,0.620952007
Honolulu,0.0016231,384241,1,Hawaii,21.32,-157.8,0.622575108
Fukuyama,0.001619117,383298,2,Hiroshima,34.5,133.37,0.624194224
Miami,0.00161741,382894,1,Florida,25.78,-80.21,0.625811635
Tulsa,0.001613655,382005,1,Oklahoma,36.13,-95.92,0.62742529
Toyohashi,0.001598317,378374,2,Aichi,34.76,137.39,0.629023607
Wakayama,0.001585497,375339,2,Wakayama,34.22,135.17,0.630609103
Colorado Springs,0.00157592,373072,1,Colorado,38.86,-104.76,0.632185024
Minneapolis,0.001553537,367773,1,Minnesota,44.96,-93.27,0.63373856
Arlington,0.001552531,367535,1,Texas,32.69,-97.13,0.635291091
Nara,0.001551762,367353,2,Nara,34.69,135.83,0.636842854
Xico,0.001545105,365777,4,México,19.27,-98.94,0.638387959
Villahermosa,0.001530844,362401,4,Tabasco,17.98,-92.92,0.639918803
Toyota,0.001530768,362383,2,Aichi,35.09,137.16,0.641449571
Nagano,0.001521446,360176,2,Nagano,36.65,138.18,0.642971017
Iwaki,0.001509335,357309,2,Fukushima,37.05,140.88,0.644480352
Asahikawa,0.001506391,356612,2,Hokkaido,43.77,142.36,0.645986742
Wichita,0.001500612,355244,1,Kansas,37.69,-97.34,0.647487354
Mazatlan,0.001498386,354717,4,Sinaloa,23.22,-106.42,0.64898574
Takatsuki,0.001497334,354468,2,Osaka,34.85,135.62,0.650483074
Okazaki,0.001488434,352361,2,Aichi,34.96,137.16,0.651971507
Apodaca,0.001487179,352064,4,Nuevo León,25.77,-100.18,0.653458686
Suita,0.001485346,351630,2,Osaka,34.75,135.52,0.654944032
Ixtapaluca,0.001482689,351001,4,México,19.32,-98.88,0.656426721
Nuevo Laredo,0.001476559,349550,4,Tamaulipas,27.48,-99.51,0.65790328
London,0.001464795,346765,8,Ontario,42.97,-81.24,0.659368075
Cuernavaca,0.00145214,343769,4,Morelos,18.92,-99.25,0.660820215
Santa Ana,0.001449119,343054,1,California,33.74,-117.88,0.662269334
Koriyama,0.001438584,340560,2,Fukushima,37.41,140.38,0.663707918
Kashiwa,0.001437152,340221,2,Chiba,35.87,139.97,0.66514507
Irapuato,0.001434335,339554,4,Guanajuato,20.68,-101.36,0.666579405
Tokorozawa,0.001433832,339435,2,Saitama,35.8,139.47,0.668013237
Raleigh,0.001430976,338759,1,North Carolina,35.82,-78.66,0.669444213
Kawagoe,0.001427479,337931,2,Saitama,35.92,139.49,0.670871692
Kochi,0.001417506,335570,2,Kochi,33.56,133.54,0.672289198
Takamatsu,0.001411816,334223,2,Kagawa,34.34,134.04,0.673701013
Anaheim,0.00140956,333689,1,California,33.84,-117.87,0.675110573
Toyama,0.001375103,325532,2,Toyama,36.7,137.22,0.676485676
Tampa,0.001370596,324465,1,Florida,27.96,-82.48,0.677856273
St. Louis,0.001355604,320916,1,Missouri,38.64,-90.24,0.679211877
Akita,0.001352027,320069,2,Akita,39.71,140.11,0.680563904
